index,sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,entidades_nomeadas,adjetivos,triggers,intensifiers,modifiers,quotation_marks,repeated_punctuation,letters_repetition,word_repetition
76,"Enquanto o pessoal não cria vergonha na cara e não larga a [boquinha]P5, o investimento sai do pais, o desemprego corre solto, o sus continua uma merda, parabéns!!!","Enquanto o pessoal não cria vergonha na cara e não larga a boquinha, o investimento sai do pais, o desemprego corre solto, o sus continua uma merda, parabéns!!!",1,Enquanto o pessoal não cria vergonha na cara e não larga a boquinha o investimento sai do pais o desemprego corre solto o sus continua uma merda parabéns,0,0,1,0,1,0,1,1,1
95,Golpe plano B?,Golpe plano B?,1,Golpe plano B,0,0,1,0,1,0,0,0,0
104,"São muito nobres, afinal, a chapa usou $$ de corrupção.","São muito nobres, afinal, a chapa usou $$ de corrupção.",1,São muito nobres afinal a chapa usou  de corrupção,0,1,1,1,1,0,0,1,1
112,Porque o governo não tem?,Porque o governo não tem?,1,Porque o governo não tem,0,0,1,0,1,0,0,0,0
115,É assim que se governa o Brasil.,É assim que se governa o Brasil.,1,É assim que se governa o Brasil,1,0,1,0,1,0,0,0,0
117,Sim ela parece funcionar muito bem...,Sim ela parece funcionar muito bem...,1,Sim ela parece funcionar muito bem,0,0,1,0,1,0,1,0,0
118,Quase ninguém passa muita fome ou necessidade lá...,Quase ninguém passa muita fome ou necessidade lá...,1,Quase ninguém passa muita fome ou necessidade lá,0,0,1,0,1,0,1,1,0
133,"Tirar a Dilma e colocar o Cunha ou  Temer  no lugar, ai voce fica feliz né!","Tirar a Dilma e colocar o Cunha ou  Temer  no lugar, ai voce fica feliz né!",1,Tirar a Dilma e colocar o Cunha ou  Temer  no lugar ai voce fica feliz né,1,1,1,0,1,0,0,0,0
134,"claro, deve ser da sua turma e ai podem brecar a lava jato.","claro, deve ser da sua turma e ai podem brecar a lava jato.",1,claro deve ser da sua turma e ai podem brecar a lava jato,0,0,1,0,1,0,0,0,0
174,Haja vaselina ou o dedo era mágico,Haja vaselina ou o dedo era mágico,1,Haja vaselina ou o dedo era mágico,0,0,1,0,1,0,0,0,0
194,"Com um [""conselheiro""]P1 desse, o que se pode esperar.....desgraça pouca .....","Com um [""conselheiro""]P1 desse, o que se pode esperar.....desgraça pouca .....",1,Com um conselheiroP1 desse o que se pode esperardesgraça pouca ,0,0,1,0,1,1,1,0,0
199,Desgraça pouca é bobagem.,Desgraça pouca é bobagem.,1,Desgraça pouca é bobagem,0,0,1,0,1,0,0,0,0
214,Impichimã de  dirma  é golpismo.,Impichimã de  dirma  é golpismo.,1,Impichimã de  dirma  é golpismo,1,0,1,0,1,0,0,0,0
215,Loolla  continuar na presidença é [continuismo]P3.,Loolla  continuar na presidença é continuismo.,1,Loolla  continuar na presidença é continuismo,1,0,1,0,1,0,0,0,0
228,"Disputa para ver quem é mais Falso, como eles respiram o ar infectado de Brasilia, pensam que a população esta anestesiada, Uh Coitados...","Disputa para ver quem é mais Falso, como eles respiram o ar infectado de Brasilia, pensam que a população esta anestesiada, Uh Coitados...",1,Disputa para ver quem é mais Falso como eles respiram o ar infectado de Brasilia pensam que a população esta anestesiada Uh Coitados,1,0,1,1,1,0,1,0,0
233,Os dois se merecem!,Os dois se merecem!,1,Os dois se merecem,0,0,1,0,1,0,0,0,0
234,Se o Lula manda!!!,Se o Lula manda!!!,1,Se o Lula manda,1,0,1,0,1,0,1,0,1
235,Deixe entender!!!,Deixe entender!!!,1,Deixe entender,0,0,0,0,0,0,1,0,1
236,A culpa desse estado do Brasil não é só  dela ? ;-),A culpa desse estado do Brasil não é só  dela ? ;-),1,A culpa desse estado do Brasil não é só  dela  ,1,0,1,0,1,0,0,0,0
238,Lula tem razão: mais vale um mal acordo do que uma boa demanda...,Lula tem razão: mais vale um mal acordo do que uma boa demanda...,1,Lula tem razão mais vale um mal acordo do que uma boa demanda,1,0,1,0,1,0,1,0,0
249,Chico não bate em Renan e em Dilma.,Chico não bate em Renan e em Dilma.,1,Chico não bate em Renan e em Dilma,1,0,1,0,1,0,0,0,0
251,"B) o vazamento seletivo de informacao e ampla divulgação na imprensa é instrumento legal previsto pela [""operação [manipulite]P3""]P1 ver Reportagem FSP - Sergio moro.","B) o vazamento seletivo de informacao e ampla divulgação na imprensa é instrumento legal previsto pela [""operação manipulite""]P1 ver Reportagem FSP - Sergio moro.",1,B o vazamento seletivo de informacao e ampla divulgação na imprensa é instrumento legal previsto pela operação manipuliteP1 ver Reportagem FSP  Sergio moro,1,1,1,0,1,1,0,0,0
254,A Sra. Presidente e [tao honesta]P6 que vai pro ceu..[tadinha]P5..,A Sra. Presidente e tao honesta que vai pro ceu..tadinha..,1,A Sra Presidente e tao honesta que vai pro ceutadinha,0,1,1,0,1,0,1,0,0
255,ninguém tem do dela não????..,ninguém tem do dela não????..,1,ninguém tem do dela não,0,0,1,0,1,0,1,0,1
256,"poxa a filha dela e muito pobre ,como filho lula...","poxa a filha dela e muito pobre ,como filho lula...",1,poxa a filha dela e muito pobre como filho lula,0,0,1,1,1,0,1,0,0
257,agora são trilhonarios ganharam na mega sena....,agora são trilhonarios ganharam na mega sena....,1,agora são trilhonarios ganharam na mega sena,1,0,1,0,1,0,1,0,0
258,ki legal não e mesmo???,ki legal não e mesmo???,1,ki legal não e mesmo,0,1,1,0,1,0,1,0,1
268,Pode ficar feliz a Oposição?!,Pode ficar feliz a Oposição?!,1,Pode ficar feliz a Oposição,1,1,1,0,1,0,1,0,0
274,Meu caro o ParTido da ética e o paladino da justiça qual era mesmo?,Meu caro o ParTido da ética e o paladino da justiça qual era mesmo?,1,Meu caro o ParTido da ética e o paladino da justiça qual era mesmo,1,0,1,0,1,0,0,0,0
275,"Sem falar que os ditos governistas foram obrigados pelo empresariado corrupto a aceitarem propinas, além de enriquecer de forma obscura!","Sem falar que os ditos governistas foram obrigados pelo empresariado corrupto a aceitarem propinas, além de enriquecer de forma obscura!",1,Sem falar que os ditos governistas foram obrigados pelo empresariado corrupto a aceitarem propinas além de enriquecer de forma obscura,0,0,1,0,1,0,0,0,0
276,"To procurando um ap em Maresias, triplex....","To procurando um ap em Maresias, triplex....",1,To procurando um ap em Maresias triplex,1,0,1,0,1,0,1,0,0
277,Conhece algum à venda?,Conhece algum à venda?,1,Conhece algum à venda,0,0,1,0,1,0,0,0,0
301,"[""Não seja ingenuo""]P1 é a ótima.","[""Não seja ingenuo""]P1 é a ótima.",1,Não seja ingenuoP1 é a ótima,0,1,1,0,1,1,0,0,0
329,Uma boa maneira de blindá-lo é colocá-lo num carro forte e concretar o carro dentro do palácio.,Uma boa maneira de blindá-lo é colocá-lo num carro forte e concretar o carro dentro do palácio.,1,Uma boa maneira de blindálo é colocálo num carro forte e concretar o carro dentro do palácio,1,0,1,0,1,0,0,1,0
330,Ninguém vai atingi-lo e nem será atingido!,Ninguém vai atingi-lo e nem será atingido!,1,Ninguém vai atingilo e nem será atingido,0,0,1,0,1,0,0,0,0
337,Por ele boto a mão da sogra do meu vizinho. Rsss.,Por ele boto a mão da sogra do meu vizinho. Rsss.,1,Por ele boto a mão da sogra do meu vizinho Rsss,0,0,1,0,1,0,0,0,0
343,"Basta ver as demonstrações de campanha, afinal as [""doações""]P1 foram todas [""legais""]P1.","Basta ver as demonstrações de campanha, afinal as [""doações""]P1 foram todas [""legais""]P1.",1,Basta ver as demonstrações de campanha afinal as doaçõesP1 foram todas legaisP1,0,0,1,0,1,1,0,0,0
351,"poxa vida, logo agora que o nosso Pravda (FSP) tinha acionado a máquina de propaganda para projetar a imagem do [""amigo""]P1 J. Wagner.","poxa vida, logo agora que o nosso Pravda (FSP) tinha acionado a máquina de propaganda para projetar a imagem do [""amigo""]P1 J. Wagner.",1,poxa vida logo agora que o nosso Pravda FSP tinha acionado a máquina de propaganda para projetar a imagem do amigoP1 J Wagner,1,0,1,0,1,1,0,0,0
354,[Tão meigo]P6!,Tão meigo!,1,Tão meigo,0,0,0,1,0,0,0,0,0
356,"Mas aí, o nosso Pravda, sutilmente, só desliga a a máquina propagandista.","Mas aí, o nosso Pravda, sutilmente, só desliga a a máquina propagandista.",1,Mas aí o nosso Pravda sutilmente só desliga a a máquina propagandista,1,0,1,0,1,0,0,0,1
361,"Em solidariedade ao Waner que se queixa sobre os vazamentos, poxa gente, vamos para de vazar dados sobre os [phetistas-pixulequeiros]P3, afinal eles 'lutaram muito' pra conseguir essas bocadas!","Em solidariedade ao Waner que se queixa sobre os vazamentos, poxa gente, vamos para de vazar dados sobre os phetistas-pixulequeiros]P3, afinal eles 'lutaram muito' pra conseguir essas bocadas!",1,Em solidariedade ao Waner que se queixa sobre os vazamentos poxa gente vamos para de vazar dados sobre os phetistaspixulequeirosP3 afinal eles lutaram muito pra conseguir essas bocadas,0,0,1,0,1,1,0,0,0
362,"Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?","Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?",1,Que tal começar agora a vazar informações sobre os porteiros como na época do Palloci,0,0,1,0,1,0,0,0,0
363,Esses porteiros folgados!,Esses porteiros folgados!,1,Esses porteiros folgados,0,0,1,0,0,0,0,0,0
371,"Caro Trohen, eu estou adorando!","Caro Trohen, eu estou adorando!",1,Caro Trohen eu estou adorando,0,0,1,0,1,0,0,0,0
372,"Já você, como está cansado e para não se cansar mais ainda (a Lahva Jahto ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá [coxinhas]P5 para te encher o saco (vão todos para o Paredón).","Já você, como está cansado e para não se cansar mais ainda (a Lahva Jahto ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá coxinhas para te encher o saco (vão todos para o Paredón).",1,Já você como está cansado e para não se cansar mais ainda a Lahva Jahto ainda vai longe longe pode exprpicar a mulahexpr para Cubah lá não terá coxinhas para te encher o saco vão todos para o Paredón,0,0,1,0,1,0,0,0,0
373,Aproveita e tenta levar junto o máximo de bolivarianos [pixulequeiros]P3 que conseguir.,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir.,1,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir,1,0,1,0,1,0,0,0,0
374,Boa viagem!,Boa viagem!,1,Boa viagem,0,0,1,0,0,0,0,0,0
387,Eu estou adorando!,Eu estou adorando!,1,Eu estou adorando,0,0,1,0,0,0,0,0,0
388,"Já você, como está cansado e para não se cansar mais ainda (a Lava Jato ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá os [coxinhas]P5 para te encher o saco.","Já você, como está cansado e para não se cansar mais ainda (a Lava Jato ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá os coxinhas para te encher o saco.",1,Já você como está cansado e para não se cansar mais ainda a Lava Jato ainda vai longe longe pode exprpicar a mulahexpr para Cubah lá não terá os coxinhas para te encher o saco,0,0,1,0,1,0,0,0,0
389,Aproveita e tenta levar junto o máximo de bolivarianos [pixulequeiros]P3 que conseguir.,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir.,1,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir,1,0,1,0,1,0,0,0,0
407,"Ô gente, vamos para de vazar dados sobre os [phetistas]P3 graduados, poxa, afinal eles ['lutaram muito']P1 pra conseguir as bocadas!","Ô gente, vamos para de vazar dados sobre os phetistas graduados, poxa, afinal eles ['lutaram muito']P1 pra conseguir as bocadas!",1,Ô gente vamos para de vazar dados sobre os phetistas graduados poxa afinal eles lutaram muitoP1 pra conseguir as bocadas,0,0,1,0,1,1,0,0,0
408,"Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?","Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?",1,Que tal começar agora a vazar informações sobre os porteiros como na época do Palloci,0,0,1,0,1,0,0,0,0
409,Esses porteiros folgados!,Esses porteiros folgados!,1,Esses porteiros folgados,0,0,1,0,0,0,0,0,0
411,"Agora, haja tantos [pintinhos]P5 em apuros que nem o galinheiro e nem a galinha não dão conta, é preciso urgente uma granja, ou quem sabe alugar a Papuda.","Agora, haja tantos pintinhos em apuros que nem o galinheiro e nem a galinha não dão conta, é preciso urgente uma granja, ou quem sabe alugar a Papuda.",1,Agora haja tantos pintinhos em apuros que nem o galinheiro e nem a galinha não dão conta é preciso urgente uma granja ou quem sabe alugar a Papuda,0,0,1,0,1,0,0,0,0
432,Tomara que o jw saia como candidato nas próximas eleições.,Tomara que o jw saia como candidato nas próximas eleições.,1,Tomara que o jw saia como candidato nas próximas eleições,0,0,1,0,1,0,0,0,0
441,"A 'chairwoman' da quahdrilha tem que ser obrigatoriamente limpa, além de extremamente fiel e manipulável.","A 'chairwoman' da quahdrilha tem que ser obrigatoriamente limpa, além de extremamente fiel e manipulável.",1,A chairwoman da quahdrilha tem que ser obrigatoriamente limpa além de extremamente fiel e manipulável,1,0,1,1,1,1,0,0,0
442,Alguma semelhança?,Alguma semelhança?,1,Alguma semelhança,0,0,0,0,0,0,0,0,0
466,discutir macroeconomia?,discutir macroeconomia?,1,discutir macroeconomia,0,0,0,0,0,0,0,0,0
472,Que time!!!,Que time!!!,1,Que time,0,0,1,0,0,0,1,0,1
473,Agora vai!!!!,Agora vai!!!!,1,Agora vai,0,0,0,0,1,0,1,0,1
476,Esqueceram de chamar a Dilma.,Esqueceram de chamar a Dilma.,1,Esqueceram de chamar a Dilma,1,0,1,0,1,0,0,0,0
478,"A  coitada  está perdida, até jornalista alheio está definindo estratégias de comunicação para  ela .","A  coitada  está perdida, até jornalista alheio está definindo estratégias de comunicação para  ela .",1,A  coitada  está perdida até jornalista alheio está definindo estratégias de comunicação para  ela ,1,0,1,0,1,0,0,0,0
497,"Companheiro, quem pariu Matheus que embale!","Companheiro, quem pariu Matheus que embale!",1,Companheiro quem pariu Matheus que embale,1,0,1,0,1,0,0,0,0
505,Não poderia faltar o comunista f.martins.,Não poderia faltar o comunista f.martins.,1,Não poderia faltar o comunista fmartins,0,0,1,0,1,0,0,0,0
507,Ah! só para lembrar: ela quebrou uma [lojinha]P5 de badulaques anteriormente!,Ah! só para lembrar: ela quebrou uma lojinha de badulaques anteriormente!,1,Ah só para lembrar ela quebrou uma lojinha de badulaques anteriormente,1,0,1,0,1,0,0,0,0
508,Faltou convidar os dois filhos do  Luulla .,Faltou convidar os dois filhos do  Luulla .,1,Faltou convidar os dois filhos do  Luulla ,0,0,1,0,1,0,0,0,0
509,"Com a expertise de ambos na condução de seus negócios, teriam excelentes sugestões para contribuir com a volta do crescimento econômico.","Com a expertise de ambos na condução de seus negócios, teriam excelentes sugestões para contribuir com a volta do crescimento econômico.",1,Com a expertise de ambos na condução de seus negócios teriam excelentes sugestões para contribuir com a volta do crescimento econômico,0,1,1,0,1,0,0,0,0
518,Abrs. Manric,Abrs. Manric,1,Abrs Manric,1,0,0,0,0,0,0,0,0
523,Só se for na papuda.,Só se for na papuda.,1,Só se for na papuda,0,0,1,0,1,0,0,0,0
527,Dilma já não é mais presidente?,Dilma já não é mais presidente?,1,Dilma já não é mais presidente,1,0,1,0,1,0,0,0,0
537,Cinco?,Cinco?,1,Cinco,0,0,0,0,0,0,0,0,0
541,Sugestão primeira: Investir mais na Carta Capital para o Mino elogiar ainda mais [esse governo]P7.,Sugestão primeira: Investir mais na Carta Capital para o Mino elogiar ainda mais esse governo.,1,Sugestão primeira Investir mais na Carta Capital para o Mino elogiar ainda mais esse governo,1,0,1,0,1,0,0,0,0
543,"Reunião dos 3 patetas, um afundou o Brasil, no tempo dos militares, o outro afundou o Palmeiras, e o outro afundou o Brasil do Real $, faltou o Mantega, para servir a [cachacinha]P5, como garçom.","Reunião dos 3 patetas, um afundou o Brasil, no tempo dos militares, o outro afundou o Palmeiras, e o outro afundou o Brasil do Real $, faltou o Mantega, para servir a cachacinha, como garçom.",1,Reunião dos 3 patetas um afundou o Brasil no tempo dos militares o outro afundou o Palmeiras e o outro afundou o Brasil do Real  faltou o Mantega para servir a cachacinha como garçom,1,0,1,0,1,0,0,0,0
544,Pobre [Banania]P3.,Pobre Banania.,1,Pobre Banania,0,0,0,0,0,0,0,0,0
555,"Beluzzo, Mino Carta, Frankin Martins, só faltou Paulo Henrique Amorim, marcola, fernadinho beira mar...meu Deus é o caos.","Beluzzo, Mino Carta, Frankin Martins, só faltou Paulo Henrique Amorim, marcola, fernadinho beira mar...meu Deus é o caos.",1,Beluzzo Mino Carta Frankin Martins só faltou Paulo Henrique Amorim marcola fernadinho beira marmeu Deus é o caos,1,0,1,0,1,0,1,0,0
563,Parque dos Dinossauros 6...,Parque dos Dinossauros 6...,1,Parque dos Dinossauros 6,0,0,1,0,1,0,1,0,0
564,Agora vai!,Agora vai!,1,Agora vai,0,0,0,0,1,0,0,0,0
570,Há esqueci a fortuna de seu filho e os desvios do BNDS,Há esqueci a fortuna de seu filho e os desvios do BNDS,1,Há esqueci a fortuna de seu filho e os desvios do BNDS,0,0,1,0,1,0,0,0,0
571,"É só devolver o dinheiro desviado das estatais ,fundos de pensões e das licitações super faturadas é só avisar o  ex","É só devolver o dinheiro desviado das estatais ,fundos de pensões e das licitações super faturadas é só avisar o  ex",1,É só devolver o dinheiro desviado das estatais fundos de pensões e das licitações super faturadas é só avisar o  ex,0,0,1,0,1,0,0,0,0
573,"Esqueceram de convidar o mais importante e ilustre do [clubinho]P5, o Mantega.","Esqueceram de convidar o mais importante e ilustre do clubinho, o Mantega.",1,Esqueceram de convidar o mais importante e ilustre do clubinho o Mantega,0,1,1,1,1,0,0,0,0
574,Seus mal agradecidos!,Seus mal agradecidos!,1,Seus mal agradecidos,0,0,0,0,1,0,0,0,0
575,O deputado  Eduardoh Cunhah  seguramente já percebeu que não está agradando.,O deputado  Eduardoh Cunhah  seguramente já percebeu que não está agradando.,1,O deputado  Eduardoh Cunhah  seguramente já percebeu que não está agradando,1,0,1,0,1,0,0,0,0
576,"Ainda penso que daria um bom embaixador do Brasil em... a) Israel b) Afganistão c) Otawa d) Pyongyang e) Vaticano (segura essa, Franciscoh!)","Ainda penso que daria um bom embaixador do Brasil em... a) Israel b) Afganistão c) Otawa d) Pyongyang e) Vaticano (segura essa, Franciscoh!)",1,Ainda penso que daria um bom embaixador do Brasil em a Israel b Afganistão c Otawa d Pyongyang e Vaticano segura essa Franciscoh,1,1,1,0,1,0,1,0,0
589,Eduardo Cunha é o Cara!!?,Eduardo Cunha é o Cara!!?,1,Eduardo Cunha é o Cara,1,0,1,0,1,0,1,0,1
599,Somos um pais de [coitadinhos]P5.,Somos um pais de coitadinhos.,1,Somos um pais de coitadinhos,1,0,1,0,1,0,0,0,0
607,"É capaz de chegar para a própria mulher dele, também envolvida nas falcatruas, pela PGR, antes de dormir, e dizer: [""quanta injúria , perseguição, não é meu amor?""]P1","É capaz de chegar para a própria mulher dele, também envolvida nas falcatruas, pela PGR, antes de dormir, e dizer: [""quanta injúria , perseguição, não é meu amor?""]P1",1,É capaz de chegar para a própria mulher dele também envolvida nas falcatruas pela PGR antes de dormir e dizer quanta injúria  perseguição não é meu amorP1,0,0,1,0,1,1,0,0,0
608,"Governo, Procuradoria, Homens e Mulheres de Bem, crianças, padres, militares,estudantes, trabalhadores, e o resto deve te apoiar!!!","Governo, Procuradoria, Homens e Mulheres de Bem, crianças, padres, militares,estudantes, trabalhadores, e o resto deve te apoiar!!!",1,Governo Procuradoria Homens e Mulheres de Bem crianças padres militaresestudantes trabalhadores e o resto deve te apoiar,0,0,1,0,1,0,1,0,1
617,Jura que  ele  eh inocente?,Jura que  ele  eh inocente?,1,Jura que  ele  eh inocente,1,0,1,0,0,0,0,0,0
620,Ou  coitado  é um santo injustiçado.,Ou  coitado  é um santo injustiçado.,1,Ou  coitado  é um santo injustiçado,0,0,1,0,1,0,0,0,0
645,apareceu um Cunhado,apareceu um Cunhado,1,apareceu um Cunhado,0,0,0,0,1,0,0,0,0
647,Este homem é um santo.,Este homem é um santo.,1,Este homem é um santo,0,0,1,0,1,0,0,0,0
648,"Não demora, e surge no país um movimento para pedir sua canonização.","Não demora, e surge no país um movimento para pedir sua canonização.",1,Não demora e surge no país um movimento para pedir sua canonização,0,0,1,0,1,0,0,0,0
657,"Novamente o célebre slogan em funcionamento [""Toma lá , dá cá""]P1.","Novamente o célebre slogan em funcionamento [""Toma lá , dá cá""]P1.",1,Novamente o célebre slogan em funcionamento Toma lá  dá cáP1,0,0,1,0,1,1,0,0,0
659,"Eles são o que, deuses?","Eles são o que, deuses?",1,Eles são o que deuses,0,0,1,0,1,0,0,0,0
673,"Esta dinheirama aprovada pelo desgoverno para os partidos é porque as torneiras da Petrobras estão fechadas (pelo menos teoricamente), antes da Polícia Federal mandar fechar as torneiras o dinheiro vazava pelo hladrão e ninguém viu nada, ninguém sabia de nada, quanta coincidência, foi só fechar as torneiras que aumentaram o fundo partidário, quanta [""coincidência""]P1, sei... sei..","Esta dinheirama aprovada pelo desgoverno para os partidos é porque as torneiras da Petrobras estão fechadas (pelo menos teoricamente), antes da Polícia Federal mandar fechar as torneiras o dinheiro vazava pelo hladrão e ninguém viu nada, ninguém sabia de nada, quanta coincidência, foi só fechar as torneiras que aumentaram o fundo partidário, quanta [""coincidência""]P1, sei... sei..",1,Esta dinheirama aprovada pelo desgoverno para os partidos é porque as torneiras da Petrobras estão fechadas pelo menos teoricamente antes da Polícia Federal mandar fechar as torneiras o dinheiro vazava pelo hladrão e ninguém viu nada ninguém sabia de nada quanta coincidência foi só fechar as torneiras que aumentaram o fundo partidário quanta coincidênciaP1 sei sei,1,0,1,0,1,1,1,0,0
680,"Já que o mensalão <expr>foi pras cucuias</expr>, a [petroroubalheira]P3 tá dando cadeia, a solução para comprar as [""consciências""]P1 no congresso vai sair mesmo do orçamento da União....","Já que o mensalão <expr>foi pras cucuias</expr>, a petroroubalheira tá dando cadeia, a solução para comprar as [""consciências""]P1 no congresso vai sair mesmo do orçamento da União....",1,Já que o mensalão exprfoi pras cucuiasexpr a petroroubalheira tá dando cadeia a solução para comprar as consciênciasP1 no congresso vai sair mesmo do orçamento da União,1,0,1,0,1,1,1,1,0
681,"Não bastam salários polpudos para os parlamentares, nem gabinetes luxuosos, nem hordas de funcionários pagos com dinheiro público.... Tem que jorrar dinheiro para [""bases""]P1 dos srs. deputados e senadores.","Não bastam salários polpudos para os parlamentares, nem gabinetes luxuosos, nem hordas de funcionários pagos com dinheiro público.... Tem que jorrar dinheiro para [""bases""]P1 dos srs. deputados e senadores.",1,Não bastam salários polpudos para os parlamentares nem gabinetes luxuosos nem hordas de funcionários pagos com dinheiro público Tem que jorrar dinheiro para basesP1 dos srs deputados e senadores,0,0,1,0,1,1,1,0,0
682,"[""Quos que tandem Catilina?""]P1","[""Quos que tandem Catilina?""]P1",1,Quos que tandem CatilinaP1,0,0,1,0,0,1,0,0,0
689,"vou montar um partido para pegar uma parte desse dinheiro, e eles estão preocupados com o rombo da previdência","vou montar um partido para pegar uma parte desse dinheiro, e eles estão preocupados com o rombo da previdência",1,vou montar um partido para pegar uma parte desse dinheiro e eles estão preocupados com o rombo da previdência,0,0,1,0,1,0,0,0,0
694,"Imaginou se o desgoverno tivesse que trabalhar , para distribuir dinheiro, acho que nao faria essa oferta [tao generosa]P6, aos partidos que nada produzem ou ajudam o Pais se stabilizar.","Imaginou se o desgoverno tivesse que trabalhar , para distribuir dinheiro, acho que nao faria essa oferta tao generosa, aos partidos que nada produzem ou ajudam o Pais se stabilizar.",1,Imaginou se o desgoverno tivesse que trabalhar  para distribuir dinheiro acho que nao faria essa oferta tao generosa aos partidos que nada produzem ou ajudam o Pais se stabilizar,0,0,1,1,1,0,0,0,0
695,Mas que se F. o dinheiro nao e meu mesmo.,Mas que se F. o dinheiro nao e meu mesmo.,1,Mas que se F o dinheiro nao e meu mesmo,0,0,1,0,1,0,0,0,0
696,"Viva a Corrupcao, o Pais de babacas onde vivemos.","Viva a Corrupcao, o Pais de babacas onde vivemos.",1,Viva a Corrupcao o Pais de babacas onde vivemos,1,0,1,0,1,0,0,0,0
700,"Adquirindo a terra para vende-la aos ocupantes da Vila Soma (segundo matéria divulgada neste mesmo veículo, se utilizasse este numerário, sobraria R$ 710 milhões de Reais beneficiando 10.000 pessoas) ou repassando aos partidos políticos?","Adquirindo a terra para vende-la aos ocupantes da Vila Soma (segundo matéria divulgada neste mesmo veículo, se utilizasse este numerário, sobraria R$ 710 milhões de Reais beneficiando 10.000 pessoas) ou repassando aos partidos políticos?",1,Adquirindo a terra para vendela aos ocupantes da Vila Soma segundo matéria divulgada neste mesmo veículo se utilizasse este numerário sobraria R 710 milhões de Reais beneficiando 10000 pessoas ou repassando aos partidos políticos,1,0,1,0,1,0,0,1,0
707,Nossa como  ela  é legal!,Nossa como  ela  é legal!,1,Nossa como  ela  é legal,0,1,1,0,1,0,0,0,0
