classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
1.0,"Até hoje nunca ouvi uma vírgula dela sobre o ocorrido... a defesa ambiental só serve de discurso em época de eleição, não é?","Até hoje nunca ouvi uma vírgula dela sobre o ocorrido... a defesa ambiental só serve de discurso em época de eleição, não é?",Até hoje nunca ouvi uma vírgula dela sobre o ocorrido a defesa ambiental só serve de discurso em época de eleição não é,Ate hoje nunca ouvi uma virgula dela sobre o ocorrido a defesa ambiental so serve de discurso em epoca de eleicao nao e,Ate hoje nunca ouvi virgula sobre ocorrido defesa ambiental serve discurso epoca eleicao,ate hoje nunca ouvi virgula sobre ocorrido defesa ambiental serve discurso epoca eleicao,ate hoj nunc ouv virgul sobr ocorr defês ambient serv discurs epoc eleica
1.0,Teu discursinho só engana os inocentes...,Teu discursinho só engana os inocentes...,Teu discursinho só engana os inocentes,Teu discursinho so engana os inocentes,Teu discursinho engana inocentes,teu discursinho engana inocentes,teu discurs engan inoc
1.0,Uma correção oportuna: ela nunca teve liderança alguma!,Uma correção oportuna: ela nunca teve liderança alguma!,Uma correção oportuna ela nunca teve liderança alguma,Uma correcao oportuna ela nunca teve lideranca alguma,Uma correcao oportuna nunca lideranca alguma,uma correcao oportuna nunca lideranca alguma,uma correca oportun nunc lideranc algum
1.0,"Mas fique tranquila ...voce, com seu linguajar empolado, também não!","Mas fique tranquila ...voce, com seu linguajar empolado, também não!",Mas fique tranquila voce com seu linguajar empolado também não,Mas fique tranquila voce com seu linguajar empolado tambem nao,Mas fique tranquila linguajar empolado,mas fique tranquila linguajar empolado,mas fiqu tranquil linguaj empol
1.0,Liderança política; ela já teve isso?,Liderança política; ela já teve isso?,Liderança política ela já teve isso,Lideranca politica ela ja teve isso,Lideranca politica,lideranca politica,lideranc poli
1.0,Ela sabe o que é isso?,Ela sabe o que é isso?,Ela sabe o que é isso,Ela sabe o que e isso,Ela sabe,ela sabe,ela sab
1.0,Se a Marina estivesse no lugar da Dilma ela teria sido comida com angú.... acha que está preparada mais não está.... apoia candidatos sem conhecê-los como Aécio Neves hoje junto com seu partido citado por delatores por serem beneficiados nos esquemas de corrupção contra o povo brasileiro....,Se a Marina estivesse no lugar da Dilma ela teria sido comida com angú.... acha que está preparada mais não está.... apoia candidatos sem conhecê-los como Aécio Neves hoje junto com seu partido citado por delatores por serem beneficiados nos esquemas de corrupção contra o povo brasileiro....,Se a Marina estivesse no lugar da Dilma ela teria sido comida com angú acha que está preparada mais não está apoia candidatos sem conhecêlos como Aécio Neves hoje junto com seu partido citado por delatores por serem beneficiados nos esquemas de corrupção contra o povo brasileiro,Se a Marina estivesse no lugar da Dilma ela teria sido comida com angu acha que esta preparada mais nao esta apoia candidatos sem conhecelos como Aecio Neves hoje junto com seu partido citado por delatores por serem beneficiados nos esquemas de corrupcao contra o povo brasileiro,Se Marina lugar Dilma sido comida angu acha preparada apoia candidatos conhecelos Aecio Neves hoje junto partido citado delatores serem beneficiados esquemas corrupcao contra povo brasileiro,se marina lugar dilma sido comida angu acha preparada apoia candidatos conhecelos aecio neves hoje junto partido citado delatores serem beneficiados esquemas corrupcao contra povo brasileiro,se marin lug dilm sid com angu ach prepar apo candidat conhecel aeci nev hoj junt part cit dela ser benefici esquem corrupca contr pov brasil
1.0,"Ela nunca teve, foi robo do Boka de Kana.","Ela nunca teve, foi robo do Boka de Kana.",Ela nunca teve foi robo do Boka de Kana,Ela nunca teve foi robo do Boka de Kana,Ela nunca robo Boka Kana,ela nunca robo boka kana,ela nunc rob bok kan
1.0,Liderança política no congresso é sinônimo de chefe de quadrilha.,Liderança política no congresso é sinônimo de chefe de quadrilha.,Liderança política no congresso é sinônimo de chefe de quadrilha,Lideranca politica no congresso e sinonimo de chefe de quadrilha,Lideranca politica congresso sinonimo chefe quadrilha,lideranca politica congresso sinonimo chefe quadrilha,lideranc poli congress sinon chef quadrilh
1.0,Antes tarde do que nunca.,Antes tarde do que nunca.,Antes tarde do que nunca,Antes tarde do que nunca,Antes tarde nunca,antes tarde nunca,ant tard nunc
1.0,"Ela acordou, finalmente.","Ela acordou, finalmente.",Ela acordou finalmente,Ela acordou finalmente,Ela acordou finalmente,ela acordou finalmente,ela acord final
1.0,"""...""guiada"" por uma ilegal e constrangedora 'eminência parda...'","""...""guiada"" por uma ilegal e constrangedora 'eminência parda...'",guiada por uma ilegal e constrangedora eminência parda,guiada por uma ilegal e constrangedora eminencia parda,guiada ilegal constrangedora eminencia parda,guiada ilegal constrangedora eminencia parda,gui ileg constrang eminenc pard
1.0,É verdade Marina ?,É verdade Marina ?,É verdade Marina ,E verdade Marina ,E verdade Marina,e verdade marina,e verdad marin
1.0,Só agora que você percebeu ?,Só agora que você percebeu ?,Só agora que você percebeu ,So agora que voce percebeu ,So agora percebeu,so agora percebeu,so agor perceb
1.0,Todo mundo sabe que quem manda no país de verdade não tem o mindinho.,Todo mundo sabe que quem manda no país de verdade não tem o mindinho.,Todo mundo sabe que quem manda no país de verdade não tem o mindinho,Todo mundo sabe que quem manda no pais de verdade nao tem o mindinho,Todo mundo sabe manda pais verdade mindinho,todo mundo sabe manda pais verdade mindinho,tod mund sab mand pal verdad mind
1.0,Socialismo e Liberdade'...,Socialismo e Liberdade'...,Socialismo e Liberdade,Socialismo e Liberdade,Socialismo Liberdade,socialismo liberdade,soci liberdad
1.0,Faltaram duas perguntas inocentes:,Faltaram duas perguntas inocentes:,Faltaram duas perguntas inocentes,Faltaram duas perguntas inocentes,Faltaram duas perguntas inocentes,faltaram duas perguntas inocentes,falt dua pergunt inoc
1.0,Lúcida?? Hahahahahahhahahahah ...,Lúcida?? Hahahahahahhahahahah ...,Lúcida Hahahahahahhahahahah ,Lucida Hahahahahahhahahahah ,Lucida Hahahahahahhahahahah,lucida hahahahahahhahahahah,luc hahahahahahhahahahah
1.0,"Cuba e Venezuela tem ""democracia""??","Cuba e Venezuela tem ""democracia""??",Cuba e Venezuela tem democracia,Cuba e Venezuela tem democracia,Cuba Venezuela democracia,cuba venezuela democracia,cub venezuel democrac
1.0,Da democracia socialista em que idolatram picaretas no poder pela ignorância do povo???,Da democracia socialista em que idolatram picaretas no poder pela ignorância do povo???,Da democracia socialista em que idolatram picaretas no poder pela ignorância do povo,Da democracia socialista em que idolatram picaretas no poder pela ignorancia do povo,Da democracia socialista idolatram picaretas poder ignorancia povo,da democracia socialista idolatram picaretas poder ignorancia povo,da democrac social idolatr picaret pod ignoranc pov
1.0,"Santa ignorância de Esquerda Caviar, só tem frustrado mesmo com a vida.","Santa ignorância de Esquerda Caviar, só tem frustrado mesmo com a vida.",Santa ignorância de Esquerda Caviar só tem frustrado mesmo com a vida,Santa ignorancia de Esquerda Caviar so tem frustrado mesmo com a vida,Santa ignorancia Esquerda Caviar frustrado vida,santa ignorancia esquerda caviar frustrado vida,sant ignoranc esquerd cavi frustr vid
1.0,"Expermentemos discutir política ou economia, de maneira educada, com esquerdistas: já começam 'coxinha', 'reacionário', 'fascista'...","Expermentemos discutir política ou economia, de maneira educada, com esquerdistas: já começam 'coxinha', 'reacionário', 'fascista'...",Expermentemos discutir política ou economia de maneira educada com esquerdistas já começam coxinha reacionário fascista,Expermentemos discutir politica ou economia de maneira educada com esquerdistas ja comecam coxinha reacionario fascista,Expermentemos discutir politica economia maneira educada esquerdistas comecam coxinha reacionario fascista,expermentemos discutir politica economia maneira educada esquerdistas comecam coxinha reacionario fascista,experment discut poli econom man educ esquerd comec cox reacionari fasc
1.0,"O herói da pátria, José Dirceu, quando pediu o impedimento de FHC em 1999 declarou que governista que falava em ""golpe"" era ""falta de assunto""....","O herói da pátria, José Dirceu, quando pediu o impedimento de FHC em 1999 declarou que governista que falava em ""golpe"" era ""falta de assunto""....",O herói da pátria José Dirceu quando pediu o impedimento de FHC em 1999 declarou que governista que falava em golpe era falta de assunto,O heroi da patria Jose Dirceu quando pediu o impedimento de FHC em 1999 declarou que governista que falava em golpe era falta de assunto,O heroi patria Jose Dirceu pediu impedimento FHC 1999 declarou governista falava golpe falta assunto,o heroi patria jose dirceu pediu impedimento fhc 1999 declarou governista falava golpe falta assunto,o hero patr jos dirc ped imped fhc 1999 declar govern fal golp falt assunt
1.0,Deseja circo ver fogo .,Deseja circo ver fogo .,Deseja circo ver fogo ,Deseja circo ver fogo ,Deseja circo ver fogo,deseja circo ver fogo,desej circ ver fog
1.0,"Veja, a Cidadã nada mais é que filha de BOM político, igualzinha as FAMÍLIA dos político TRADICIONAL do BRASIL, não sabe fazer nada, então vai ser POLÍTICO, esta no SANGUE!!","Veja, a Cidadã nada mais é que filha de BOM político, igualzinha as FAMÍLIA dos político TRADICIONAL do BRASIL, não sabe fazer nada, então vai ser POLÍTICO, esta no SANGUE!!",Veja a Cidadã nada mais é que filha de BOM político igualzinha as FAMÍLIA dos político TRADICIONAL do BRASIL não sabe fazer nada então vai ser POLÍTICO esta no SANGUE,Veja a Cidada nada mais e que filha de BOM politico igualzinha as FAMILIA dos politico TRADICIONAL do BRASIL nao sabe fazer nada entao vai ser POLITICO esta no SANGUE,Veja Cidada nada filha BOM politico igualzinha FAMILIA politico TRADICIONAL BRASIL sabe fazer nada entao vai ser POLITICO SANGUE,veja cidada nada filha bom politico igualzinha familia politico tradicional brasil sabe fazer nada entao vai ser politico sangue,vej cid nad filh bom poli igual famil poli tradic brasil sab faz nad enta vai ser poli sang
