sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
"São muito nobres, afinal, a chapa usou $$ de corrupção.","São muito nobres, afinal, a chapa usou $$ de corrupção.",1,São muito nobres afinal a chapa usou  de corrupção,Sao muito nobres afinal a chapa usou  de corrupcao,Sao nobres afinal chapa usou corrupcao,sao nobres afinal chapa usou corrupcao,sao nobr afinal chap usou corrupca
Porque o governo não tem?,Porque o governo não tem?,1,Porque o governo não tem,Porque o governo nao tem,Porque governo,porque governo,porqu govern
É assim que se governa o Brasil.,É assim que se governa o Brasil.,1,É assim que se governa o Brasil,E assim que se governa o Brasil,E assim governa Brasil,e assim governa brasil,e assim govern brasil
Sim ela parece funcionar muito bem...,Sim ela parece funcionar muito bem...,1,Sim ela parece funcionar muito bem,Sim ela parece funcionar muito bem,Sim parece funcionar bem,sim parece funcionar bem,sim parec funcion bem
Quase ninguém passa muita fome ou necessidade lá...,Quase ninguém passa muita fome ou necessidade lá...,1,Quase ninguém passa muita fome ou necessidade lá,Quase ninguem passa muita fome ou necessidade la,Quase ninguem passa muita fome necessidade la,quase ninguem passa muita fome necessidade la,quas ning pass muit fom necess la
"Tirar a Dilma e colocar o Cunha ou  Temer  no lugar, ai voce fica feliz né!","Tirar a Dilma e colocar o Cunha ou  Temer  no lugar, ai voce fica feliz né!",1,Tirar a Dilma e colocar o Cunha ou  Temer  no lugar ai voce fica feliz né,Tirar a Dilma e colocar o Cunha ou  Temer  no lugar ai voce fica feliz ne,Tirar Dilma colocar Cunha Temer lugar ai fica feliz ne,tirar dilma colocar cunha temer lugar ai fica feliz ne,tir dilm coloc cunh tem lug ai fic feliz ne
"claro, deve ser da sua turma e ai podem brecar a lava jato.","claro, deve ser da sua turma e ai podem brecar a lava jato.",1,claro deve ser da sua turma e ai podem brecar a lava jato,claro deve ser da sua turma e ai podem brecar a lava jato,claro deve ser turma ai podem brecar lava jato,claro deve ser turma ai podem brecar lava jato,clar dev ser turm ai pod brec lav jat
Haja vaselina ou o dedo era mágico,Haja vaselina ou o dedo era mágico,1,Haja vaselina ou o dedo era mágico,Haja vaselina ou o dedo era magico,Haja vaselina dedo magico,haja vaselina dedo magico,haj vaselin ded magic
"Com um [""conselheiro""]P1 desse, o que se pode esperar.....desgraça pouca .....","Com um [""conselheiro""]P1 desse, o que se pode esperar.....desgraça pouca .....",1,Com um conselheiroP1 desse o que se pode esperardesgraça pouca ,Com um conselheiroP1 desse o que se pode esperardesgraca pouca ,Com conselheiroP1 desse pode esperardesgraca pouca,com conselheirop1 desse pode esperardesgraca pouca,com conselheirop1 dess pod esperardesgrac pouc
Desgraça pouca é bobagem.,Desgraça pouca é bobagem.,1,Desgraça pouca é bobagem,Desgraca pouca e bobagem,Desgraca pouca bobagem,desgraca pouca bobagem,desgrac pouc bob
Impichimã de  dirma  é golpismo.,Impichimã de  dirma  é golpismo.,1,Impichimã de  dirma  é golpismo,Impichima de  dirma  e golpismo,Impichima dirma golpismo,impichima dirma golpismo,impich dirm golp
Loolla  continuar na presidença é [continuismo]P3.,Loolla  continuar na presidença é continuismo.,1,Loolla  continuar na presidença é continuismo,Loolla  continuar na presidenca e continuismo,Loolla continuar presidenca continuismo,loolla continuar presidenca continuismo,looll continu presidenc continu
"Disputa para ver quem é mais Falso, como eles respiram o ar infectado de Brasilia, pensam que a população esta anestesiada, Uh Coitados...","Disputa para ver quem é mais Falso, como eles respiram o ar infectado de Brasilia, pensam que a população esta anestesiada, Uh Coitados...",1,Disputa para ver quem é mais Falso como eles respiram o ar infectado de Brasilia pensam que a população esta anestesiada Uh Coitados,Disputa para ver quem e mais Falso como eles respiram o ar infectado de Brasilia pensam que a populacao esta anestesiada Uh Coitados,Disputa ver Falso respiram ar infectado Brasilia pensam populacao anestesiada Uh Coitados,disputa ver falso respiram ar infectado brasilia pensam populacao anestesiada uh coitados,disput ver fals resp ar infect brasil pens populaca anestesi uh coit
Os dois se merecem!,Os dois se merecem!,1,Os dois se merecem,Os dois se merecem,Os dois merecem,os dois merecem,os doi merec
Se o Lula manda!!!,Se o Lula manda!!!,1,Se o Lula manda,Se o Lula manda,Se Lula manda,se lula manda,se lul mand
Deixe entender!!!,Deixe entender!!!,1,Deixe entender,Deixe entender,Deixe entender,deixe entender,deix entend
A culpa desse estado do Brasil não é só  dela ? ;-),A culpa desse estado do Brasil não é só  dela ? ;-),1,A culpa desse estado do Brasil não é só  dela  ,A culpa desse estado do Brasil nao e so  dela  ,A culpa desse estado Brasil,a culpa desse estado brasil,a culp dess est brasil
Lula tem razão: mais vale um mal acordo do que uma boa demanda...,Lula tem razão: mais vale um mal acordo do que uma boa demanda...,1,Lula tem razão mais vale um mal acordo do que uma boa demanda,Lula tem razao mais vale um mal acordo do que uma boa demanda,Lula razao vale mal acordo boa demanda,lula razao vale mal acordo boa demanda,lul raza val mal acord boa demand
Chico não bate em Renan e em Dilma.,Chico não bate em Renan e em Dilma.,1,Chico não bate em Renan e em Dilma,Chico nao bate em Renan e em Dilma,Chico bate Renan Dilma,chico bate renan dilma,chic bat renan dilm
"B) o vazamento seletivo de informacao e ampla divulgação na imprensa é instrumento legal previsto pela [""operação [manipulite]P3""]P1 ver Reportagem FSP - Sergio moro.","B) o vazamento seletivo de informacao e ampla divulgação na imprensa é instrumento legal previsto pela [""operação manipulite""]P1 ver Reportagem FSP - Sergio moro.",1,B o vazamento seletivo de informacao e ampla divulgação na imprensa é instrumento legal previsto pela operação manipuliteP1 ver Reportagem FSP  Sergio moro,B o vazamento seletivo de informacao e ampla divulgacao na imprensa e instrumento legal previsto pela operacao manipuliteP1 ver Reportagem FSP  Sergio moro,B vazamento seletivo informacao ampla divulgacao imprensa instrumento legal previsto operacao manipuliteP1 ver Reportagem FSP Sergio moro,b vazamento seletivo informacao ampla divulgacao imprensa instrumento legal previsto operacao manipulitep1 ver reportagem fsp sergio moro,b vaz sele informaca ampl divulgaca imprens instrument legal previst operaca manipulitep1 ver report fsp sergi mor
A Sra. Presidente e [tao honesta]P6 que vai pro ceu..[tadinha]P5..,A Sra. Presidente e tao honesta que vai pro ceu..tadinha..,1,A Sra Presidente e tao honesta que vai pro ceutadinha,A Sra Presidente e tao honesta que vai pro ceutadinha,A Sra Presidente tao honesta vai pro ceutadinha,a sra presidente tao honesta vai pro ceutadinha,a sra presid tao honest vai pro ceut
ninguém tem do dela não????..,ninguém tem do dela não????..,1,ninguém tem do dela não,ninguem tem do dela nao,ninguem,ninguem,ning
"poxa a filha dela e muito pobre ,como filho lula...","poxa a filha dela e muito pobre ,como filho lula...",1,poxa a filha dela e muito pobre como filho lula,poxa a filha dela e muito pobre como filho lula,poxa filha pobre filho lula,poxa filha pobre filho lula,pox filh pobr filh lul
agora são trilhonarios ganharam na mega sena....,agora são trilhonarios ganharam na mega sena....,1,agora são trilhonarios ganharam na mega sena,agora sao trilhonarios ganharam na mega sena,agora trilhonarios ganharam mega sena,agora trilhonarios ganharam mega sena,agor trilhonari ganh meg sen
ki legal não e mesmo???,ki legal não e mesmo???,1,ki legal não e mesmo,ki legal nao e mesmo,ki legal,ki legal,ki legal
Pode ficar feliz a Oposição?!,Pode ficar feliz a Oposição?!,1,Pode ficar feliz a Oposição,Pode ficar feliz a Oposicao,Pode ficar feliz Oposicao,pode ficar feliz oposicao,pod fic feliz oposica
Meu caro o ParTido da ética e o paladino da justiça qual era mesmo?,Meu caro o ParTido da ética e o paladino da justiça qual era mesmo?,1,Meu caro o ParTido da ética e o paladino da justiça qual era mesmo,Meu caro o ParTido da etica e o paladino da justica qual era mesmo,Meu caro ParTido etica paladino justica,meu caro partido etica paladino justica,meu car part etic paladin jus
"Sem falar que os ditos governistas foram obrigados pelo empresariado corrupto a aceitarem propinas, além de enriquecer de forma obscura!","Sem falar que os ditos governistas foram obrigados pelo empresariado corrupto a aceitarem propinas, além de enriquecer de forma obscura!",1,Sem falar que os ditos governistas foram obrigados pelo empresariado corrupto a aceitarem propinas além de enriquecer de forma obscura,Sem falar que os ditos governistas foram obrigados pelo empresariado corrupto a aceitarem propinas alem de enriquecer de forma obscura,Sem falar ditos governistas obrigados empresariado corrupto aceitarem propinas alem enriquecer forma obscura,sem falar ditos governistas obrigados empresariado corrupto aceitarem propinas alem enriquecer forma obscura,sem fal dit govern obrig empresari corrupt aceit propin alem enriquec form obsc
"To procurando um ap em Maresias, triplex....","To procurando um ap em Maresias, triplex....",1,To procurando um ap em Maresias triplex,To procurando um ap em Maresias triplex,To procurando ap Maresias triplex,to procurando ap maresias triplex,to procur ap mares triplex
Conhece algum à venda?,Conhece algum à venda?,1,Conhece algum à venda,Conhece algum a venda,Conhece algum venda,conhece algum venda,conhec algum vend
"[""Não seja ingenuo""]P1 é a ótima.","[""Não seja ingenuo""]P1 é a ótima.",1,Não seja ingenuoP1 é a ótima,Nao seja ingenuoP1 e a otima,Nao ingenuoP1 otima,nao ingenuop1 otima,nao ingenuop1 otim
Uma boa maneira de blindá-lo é colocá-lo num carro forte e concretar o carro dentro do palácio.,Uma boa maneira de blindá-lo é colocá-lo num carro forte e concretar o carro dentro do palácio.,1,Uma boa maneira de blindálo é colocálo num carro forte e concretar o carro dentro do palácio,Uma boa maneira de blindalo e colocalo num carro forte e concretar o carro dentro do palacio,Uma boa maneira blindalo colocalo carro forte concretar carro dentro palacio,uma boa maneira blindalo colocalo carro forte concretar carro dentro palacio,uma boa man blindal colocal carr fort concret carr dentr palaci
Ninguém vai atingi-lo e nem será atingido!,Ninguém vai atingi-lo e nem será atingido!,1,Ninguém vai atingilo e nem será atingido,Ninguem vai atingilo e nem sera atingido,Ninguem vai atingilo atingido,ninguem vai atingilo atingido,ning vai atingil ating
Por ele boto a mão da sogra do meu vizinho. Rsss.,Por ele boto a mão da sogra do meu vizinho. Rsss.,1,Por ele boto a mão da sogra do meu vizinho Rsss,Por ele boto a mao da sogra do meu vizinho Rsss,Por boto mao sogra vizinho Rsss,por boto mao sogra vizinho rsss,por bot mao sogr vi rss
"Basta ver as demonstrações de campanha, afinal as [""doações""]P1 foram todas [""legais""]P1.","Basta ver as demonstrações de campanha, afinal as [""doações""]P1 foram todas [""legais""]P1.",1,Basta ver as demonstrações de campanha afinal as doaçõesP1 foram todas legaisP1,Basta ver as demonstracoes de campanha afinal as doacoesP1 foram todas legaisP1,Basta ver demonstracoes campanha afinal doacoesP1 todas legaisP1,basta ver demonstracoes campanha afinal doacoesp1 todas legaisp1,bast ver demonstraco campanh afinal doacoesp1 tod legaisp1
"poxa vida, logo agora que o nosso Pravda (FSP) tinha acionado a máquina de propaganda para projetar a imagem do [""amigo""]P1 J. Wagner.","poxa vida, logo agora que o nosso Pravda (FSP) tinha acionado a máquina de propaganda para projetar a imagem do [""amigo""]P1 J. Wagner.",1,poxa vida logo agora que o nosso Pravda FSP tinha acionado a máquina de propaganda para projetar a imagem do amigoP1 J Wagner,poxa vida logo agora que o nosso Pravda FSP tinha acionado a maquina de propaganda para projetar a imagem do amigoP1 J Wagner,poxa vida logo agora Pravda FSP acionado maquina propaganda projetar imagem amigoP1 J Wagner,poxa vida logo agora pravda fsp acionado maquina propaganda projetar imagem amigop1 j wagner,pox vid log agor pravd fsp acion maquin propagand projet imag amigop1 j wagn
[Tão meigo]P6!,Tão meigo!,1,Tão meigo,Tao meigo,Tao meigo,tao meigo,tao meig
"Mas aí, o nosso Pravda, sutilmente, só desliga a a máquina propagandista.","Mas aí, o nosso Pravda, sutilmente, só desliga a a máquina propagandista.",1,Mas aí o nosso Pravda sutilmente só desliga a a máquina propagandista,Mas ai o nosso Pravda sutilmente so desliga a a maquina propagandista,Mas ai Pravda sutilmente desliga maquina propagandista,mas ai pravda sutilmente desliga maquina propagandista,mas ai pravd sutil deslig maquin propagand
"Em solidariedade ao Waner que se queixa sobre os vazamentos, poxa gente, vamos para de vazar dados sobre os [phetistas-pixulequeiros]P3, afinal eles 'lutaram muito' pra conseguir essas bocadas!","Em solidariedade ao Waner que se queixa sobre os vazamentos, poxa gente, vamos para de vazar dados sobre os phetistas-pixulequeiros]P3, afinal eles 'lutaram muito' pra conseguir essas bocadas!",1,Em solidariedade ao Waner que se queixa sobre os vazamentos poxa gente vamos para de vazar dados sobre os phetistaspixulequeirosP3 afinal eles lutaram muito pra conseguir essas bocadas,Em solidariedade ao Waner que se queixa sobre os vazamentos poxa gente vamos para de vazar dados sobre os phetistaspixulequeirosP3 afinal eles lutaram muito pra conseguir essas bocadas,Em solidariedade Waner queixa sobre vazamentos poxa gente vamos vazar dados sobre phetistaspixulequeirosP3 afinal lutaram pra conseguir bocadas,em solidariedade waner queixa sobre vazamentos poxa gente vamos vazar dados sobre phetistaspixulequeirosp3 afinal lutaram pra conseguir bocadas,em solidariedad wan queix sobr vaz pox gent vam vaz dad sobr phetistaspixulequeirosp3 afinal lut pra consegu boc
"Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?","Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?",1,Que tal começar agora a vazar informações sobre os porteiros como na época do Palloci,Que tal comecar agora a vazar informacoes sobre os porteiros como na epoca do Palloci,Que tal comecar agora vazar informacoes sobre porteiros epoca Palloci,que tal comecar agora vazar informacoes sobre porteiros epoca palloci,que tal comec agor vaz informaco sobr port epoc palloc
Esses porteiros folgados!,Esses porteiros folgados!,1,Esses porteiros folgados,Esses porteiros folgados,Esses porteiros folgados,esses porteiros folgados,ess port folg
"Caro Trohen, eu estou adorando!","Caro Trohen, eu estou adorando!",1,Caro Trohen eu estou adorando,Caro Trohen eu estou adorando,Caro Trohen adorando,caro trohen adorando,car trohen ador
"Já você, como está cansado e para não se cansar mais ainda (a Lahva Jahto ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá [coxinhas]P5 para te encher o saco (vão todos para o Paredón).","Já você, como está cansado e para não se cansar mais ainda (a Lahva Jahto ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá coxinhas para te encher o saco (vão todos para o Paredón).",1,Já você como está cansado e para não se cansar mais ainda a Lahva Jahto ainda vai longe longe pode exprpicar a mulahexpr para Cubah lá não terá coxinhas para te encher o saco vão todos para o Paredón,Ja voce como esta cansado e para nao se cansar mais ainda a Lahva Jahto ainda vai longe longe pode exprpicar a mulahexpr para Cubah la nao tera coxinhas para te encher o saco vao todos para o Paredon,Ja cansado cansar ainda Lahva Jahto ainda vai longe longe pode exprpicar mulahexpr Cubah la coxinhas encher saco vao todos Paredon,ja cansado cansar ainda lahva jahto ainda vai longe longe pode exprpicar mulahexpr cubah la coxinhas encher saco vao todos paredon,ja cans cans aind lahv jaht aind vai long long pod exprpic mulahexpr cubah la cox ench sac vao tod paredon
Aproveita e tenta levar junto o máximo de bolivarianos [pixulequeiros]P3 que conseguir.,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir.,1,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir,Aproveita e tenta levar junto o maximo de bolivarianos pixulequeiros que conseguir,Aproveita tenta levar junto maximo bolivarianos pixulequeiros conseguir,aproveita tenta levar junto maximo bolivarianos pixulequeiros conseguir,aproveit tent lev junt max bolivari pixulec consegu
Boa viagem!,Boa viagem!,1,Boa viagem,Boa viagem,Boa viagem,boa viagem,boa viag
Eu estou adorando!,Eu estou adorando!,1,Eu estou adorando,Eu estou adorando,Eu adorando,eu adorando,eu ador
"Já você, como está cansado e para não se cansar mais ainda (a Lava Jato ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá os [coxinhas]P5 para te encher o saco.","Já você, como está cansado e para não se cansar mais ainda (a Lava Jato ainda vai longe, longe) pode <expr>picar a mulah</expr> para Cubah, lá não terá os coxinhas para te encher o saco.",1,Já você como está cansado e para não se cansar mais ainda a Lava Jato ainda vai longe longe pode exprpicar a mulahexpr para Cubah lá não terá os coxinhas para te encher o saco,Ja voce como esta cansado e para nao se cansar mais ainda a Lava Jato ainda vai longe longe pode exprpicar a mulahexpr para Cubah la nao tera os coxinhas para te encher o saco,Ja cansado cansar ainda Lava Jato ainda vai longe longe pode exprpicar mulahexpr Cubah la coxinhas encher saco,ja cansado cansar ainda lava jato ainda vai longe longe pode exprpicar mulahexpr cubah la coxinhas encher saco,ja cans cans aind lav jat aind vai long long pod exprpic mulahexpr cubah la cox ench sac
Aproveita e tenta levar junto o máximo de bolivarianos [pixulequeiros]P3 que conseguir.,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir.,1,Aproveita e tenta levar junto o máximo de bolivarianos pixulequeiros que conseguir,Aproveita e tenta levar junto o maximo de bolivarianos pixulequeiros que conseguir,Aproveita tenta levar junto maximo bolivarianos pixulequeiros conseguir,aproveita tenta levar junto maximo bolivarianos pixulequeiros conseguir,aproveit tent lev junt max bolivari pixulec consegu
"Ô gente, vamos para de vazar dados sobre os [phetistas]P3 graduados, poxa, afinal eles ['lutaram muito']P1 pra conseguir as bocadas!","Ô gente, vamos para de vazar dados sobre os phetistas graduados, poxa, afinal eles ['lutaram muito']P1 pra conseguir as bocadas!",1,Ô gente vamos para de vazar dados sobre os phetistas graduados poxa afinal eles lutaram muitoP1 pra conseguir as bocadas,O gente vamos para de vazar dados sobre os phetistas graduados poxa afinal eles lutaram muitoP1 pra conseguir as bocadas,O gente vamos vazar dados sobre phetistas graduados poxa afinal lutaram muitoP1 pra conseguir bocadas,o gente vamos vazar dados sobre phetistas graduados poxa afinal lutaram muitop1 pra conseguir bocadas,o gent vam vaz dad sobr phet gradu pox afinal lut muitop1 pra consegu boc
"Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?","Que tal começar agora a vazar informações sobre os porteiros, como na época do Palloci?",1,Que tal começar agora a vazar informações sobre os porteiros como na época do Palloci,Que tal comecar agora a vazar informacoes sobre os porteiros como na epoca do Palloci,Que tal comecar agora vazar informacoes sobre porteiros epoca Palloci,que tal comecar agora vazar informacoes sobre porteiros epoca palloci,que tal comec agor vaz informaco sobr port epoc palloc
Esses porteiros folgados!,Esses porteiros folgados!,1,Esses porteiros folgados,Esses porteiros folgados,Esses porteiros folgados,esses porteiros folgados,ess port folg
"Agora, haja tantos [pintinhos]P5 em apuros que nem o galinheiro e nem a galinha não dão conta, é preciso urgente uma granja, ou quem sabe alugar a Papuda.","Agora, haja tantos pintinhos em apuros que nem o galinheiro e nem a galinha não dão conta, é preciso urgente uma granja, ou quem sabe alugar a Papuda.",1,Agora haja tantos pintinhos em apuros que nem o galinheiro e nem a galinha não dão conta é preciso urgente uma granja ou quem sabe alugar a Papuda,Agora haja tantos pintinhos em apuros que nem o galinheiro e nem a galinha nao dao conta e preciso urgente uma granja ou quem sabe alugar a Papuda,Agora tantos pintinhos apuros galinheiro galinha dao conta preciso urgente granja sabe alugar Papuda,agora tantos pintinhos apuros galinheiro galinha dao conta preciso urgente granja sabe alugar papuda,agor tant pint apur galinh gal dao cont precis urgent granj sab alug papud
Tomara que o jw saia como candidato nas próximas eleições.,Tomara que o jw saia como candidato nas próximas eleições.,1,Tomara que o jw saia como candidato nas próximas eleições,Tomara que o jw saia como candidato nas proximas eleicoes,Tomara jw saia candidato proximas eleicoes,tomara jw saia candidato proximas eleicoes,tom jw sai candidat prox eleico
"A 'chairwoman' da quahdrilha tem que ser obrigatoriamente limpa, além de extremamente fiel e manipulável.","A 'chairwoman' da quahdrilha tem que ser obrigatoriamente limpa, além de extremamente fiel e manipulável.",1,A chairwoman da quahdrilha tem que ser obrigatoriamente limpa além de extremamente fiel e manipulável,A chairwoman da quahdrilha tem que ser obrigatoriamente limpa alem de extremamente fiel e manipulavel,A chairwoman quahdrilha ser obrigatoriamente limpa alem extremamente fiel manipulavel,a chairwoman quahdrilha ser obrigatoriamente limpa alem extremamente fiel manipulavel,a chairwoman quahdrilh ser obrig limp alem extrem fiel manipula
Alguma semelhança?,Alguma semelhança?,1,Alguma semelhança,Alguma semelhanca,Alguma semelhanca,alguma semelhanca,algum semelhanc
discutir macroeconomia?,discutir macroeconomia?,1,discutir macroeconomia,discutir macroeconomia,discutir macroeconomia,discutir macroeconomia,discut macroeconom
Que time!!!,Que time!!!,1,Que time,Que time,Que time,que time,que tim
Agora vai!!!!,Agora vai!!!!,1,Agora vai,Agora vai,Agora vai,agora vai,agor vai
Esqueceram de chamar a Dilma.,Esqueceram de chamar a Dilma.,1,Esqueceram de chamar a Dilma,Esqueceram de chamar a Dilma,Esqueceram chamar Dilma,esqueceram chamar dilma,esquec cham dilm
"A  coitada  está perdida, até jornalista alheio está definindo estratégias de comunicação para  ela .","A  coitada  está perdida, até jornalista alheio está definindo estratégias de comunicação para  ela .",1,A  coitada  está perdida até jornalista alheio está definindo estratégias de comunicação para  ela ,A  coitada  esta perdida ate jornalista alheio esta definindo estrategias de comunicacao para  ela ,A coitada perdida jornalista alheio definindo estrategias comunicacao,a coitada perdida jornalista alheio definindo estrategias comunicacao,a coit perd jornal alhei defin estrateg comunicaca
"Companheiro, quem pariu Matheus que embale!","Companheiro, quem pariu Matheus que embale!",1,Companheiro quem pariu Matheus que embale,Companheiro quem pariu Matheus que embale,Companheiro pariu Matheus embale,companheiro pariu matheus embale,companh par math embal
Não poderia faltar o comunista f.martins.,Não poderia faltar o comunista f.martins.,1,Não poderia faltar o comunista fmartins,Nao poderia faltar o comunista fmartins,Nao poderia faltar comunista fmartins,nao poderia faltar comunista fmartins,nao pod falt comun fmartim
Ah! só para lembrar: ela quebrou uma [lojinha]P5 de badulaques anteriormente!,Ah! só para lembrar: ela quebrou uma lojinha de badulaques anteriormente!,1,Ah só para lembrar ela quebrou uma lojinha de badulaques anteriormente,Ah so para lembrar ela quebrou uma lojinha de badulaques anteriormente,Ah lembrar quebrou lojinha badulaques anteriormente,ah lembrar quebrou lojinha badulaques anteriormente,ah lembr quebr loj badulaqu anteri
Faltou convidar os dois filhos do  Luulla .,Faltou convidar os dois filhos do  Luulla .,1,Faltou convidar os dois filhos do  Luulla ,Faltou convidar os dois filhos do  Luulla ,Faltou convidar dois filhos Luulla,faltou convidar dois filhos luulla,falt convid doi filh luull
