sentenca_original,sentenca_processada1,classificacao
"Satanista e evangélicos da pior espécie, unidos pelo golpe!","Satanista e evangélicos da pior espécie, unidos pelo golpe!",-1
Mimi e Cocó.,Mimi e Cocó.,1
Cuidado: o acento no o não é circunflexo.,Cuidado: o acento no o não é circunflexo.,-1
"Outra reportagem especulativa baseada no [""se""]P1 e no [""pode""]P1...","Outra reportagem especulativa baseada no [""se""]P1 e no [""pode""]P1...",0
"Prestem um serviço ao país contra a corrupção e vão investigar as razões pelas quais o acordo feito pela justiça paulista com a Alstom que se reconheceu culpada de pagamento de propina e a pagar multa de R$ 60 mi, não a obrigou nomear políticos a quem corrompeu.","Prestem um serviço ao país contra a corrupção e vão investigar as razões pelas quais o acordo feito pela justiça paulista com a Alstom que se reconheceu culpada de pagamento de propina e a pagar multa de R$ 60 mi, não a obrigou nomear políticos a quem corrompeu.",0
"O jornalismo investigativo baseado em fatos consumados foi substituído pelo praticado por [""pau-mandado""]P1 de redação politicamente orientado.","O jornalismo investigativo baseado em fatos consumados foi substituído pelo praticado por [""pau-mandado""]P1 de redação politicamente orientado.",-1
"É difícil acreditar que algumas regras tenham que prevalecer e ser defendidas, diante do total descontrole que um país inteiro pode ficar submetido, comprometendo toda a sua economia, a sua gente, enfim, toda a sociedade, exatamente pelo mundo político ter praticado o descumprimento de regras básicas de convivência e de relações entre si.","É difícil acreditar que algumas regras tenham que prevalecer e ser defendidas, diante do total descontrole que um país inteiro pode ficar submetido, comprometendo toda a sua economia, a sua gente, enfim, toda a sociedade, exatamente pelo mundo político ter praticado o descumprimento de regras básicas de convivência e de relações entre si.",0
"O Poder político acabou, está em ruínas, o que se pode esperar dele?","O Poder político acabou, está em ruínas, o que se pode esperar dele?",0
Regeneração?,Regeneração?,-1
Não tenham ilusões.,Não tenham ilusões.,0
Será possível?,Será possível?,0
É isso mesmo que estamos entendendo aqui?,É isso mesmo que estamos entendendo aqui?,-1
"Quer dizer que se o Tribunal que possui a atribuição constitucional de analisar e julgar o processo eleitoral chegar à conclusão que todos já sabemos, de que a última eleição foi ganha com recursos públicos desviados, será golpe também?","Quer dizer que se o Tribunal que possui a atribuição constitucional de analisar e julgar o processo eleitoral chegar à conclusão que todos já sabemos, de que a última eleição foi ganha com recursos públicos desviados, será golpe também?",-1
"Golpe estamos sofrendo nós, a população brasileira, com toda esta imprensa a favor do indefensável.","Golpe estamos sofrendo nós, a população brasileira, com toda esta imprensa a favor do indefensável.",0
Melhor deixar tudo com está é?,Melhor deixar tudo com está é?,1
Por que?,Por que?,0
"Enquanto o pessoal não cria vergonha na cara e não larga a [boquinha]P5, o investimento sai do pais, o desemprego corre solto, o sus continua uma merda, parabéns!!!","Enquanto o pessoal não cria vergonha na cara e não larga a boquinha, o investimento sai do pais, o desemprego corre solto, o sus continua uma merda, parabéns!!!",1
Qualquer alternativa é melhor do que prolongarmos 2.015 até 2.018.,Qualquer alternativa é melhor do que prolongarmos 2.015 até 2.018.,-1
"O país, as empresas, os cidadãos... Não aguentarão se esta catástrofe ocorrer.","O país, as empresas, os cidadãos... Não aguentarão se esta catástrofe ocorrer.",0
Vertentes do golpe.,Vertentes do golpe.,0
Golpe?,Golpe?,0
Esse vcs já deram no Brasil.,Esse vcs já deram no Brasil.,0
Golpistas!,Golpistas!,0
"Estando  ela  e esta turma de sanguessugas Fora, está começando bem.","Estando  ela  e esta turma de sanguessugas Fora, está começando bem.",-1
Cassa-se a dupla Dilma/Temer por irregularidades na campanha.,Cassa-se a dupla Dilma/Temer por irregularidades na campanha.,0
E a dupla  Aécio/ Aloísio Nunes  não teria cometido as mesmas irregularidades?,E a dupla  Aécio/ Aloísio Nunes  não teria cometido as mesmas irregularidades?,0
Alguém já analisou as suas contas?,Alguém já analisou as suas contas?,0
Não teria recebido dinheiro das mesmas empreiteiras?,Não teria recebido dinheiro das mesmas empreiteiras?,0
Ora essa...,Ora essa...,-1
E deram o que em troca?,E deram o que em troca?,-1
Alguma obra do Governo?,Alguma obra do Governo?,-1
Vc não consegue ver a diferença!,Vc não consegue ver a diferença!,0
É lamentável.,É lamentável.,0
Essa bagunça juridica nas maos de um [bagunçador]P3 juridico como Barroso só nos enchem de desesperança.,Essa bagunça juridica nas maos de um bagunçador juridico como Barroso só nos enchem de desesperança.,0
"Ainda assim, pior do que com  ella  nao fica.","Ainda assim, pior do que com  ella  nao fica.",-1
Golpe plano B?,Golpe plano B?,1
"Ainda que nào seja impedida pelas muitas irregularidades ocorridas nesses treze anos de Governo, teria que ser impedida pela incompetencia de ter levado o País à falencia, ao desemprego sem precedente, à inflacão.","Ainda que nào seja impedida pelas muitas irregularidades ocorridas nesses treze anos de Governo, teria que ser impedida pela incompetencia de ter levado o País à falencia, ao desemprego sem precedente, à inflacão.",0
"O País não tem saúde,seguranca,educacão, está falido e o motivo disso tudo foi uma roubalheira como nunca se viu, conseguiram quebrar a Petrobrás, o BNDES só serve para jogar o dinheiro do contribuinte pelo ralo, pagando obras fora do País.","O País não tem saúde,seguranca,educacão, está falido e o motivo disso tudo foi uma roubalheira como nunca se viu, conseguiram quebrar a Petrobrás, o BNDES só serve para jogar o dinheiro do contribuinte pelo ralo, pagando obras fora do País.",0
A Lava Jato não vai descobrir 1% do que se roubou,A Lava Jato não vai descobrir 1% do que se roubou,0
"Ninguém é imparcial, isento, indiferente.","Ninguém é imparcial, isento, indiferente.",0
Até um bebê já sabe utilizar os recursos de que dispõe para conseguir aquilo que deseja.,Até um bebê já sabe utilizar os recursos de que dispõe para conseguir aquilo que deseja.,-1
"Não seria diferente no Executivo, no Legislativo e no Judiciário.","Não seria diferente no Executivo, no Legislativo e no Judiciário.",-1
"Seus componentes têm suas preferências políticas e vão manifestá-las, mesmo buscando refúgio no muitas vezes falacioso argumento dos superiores interesses da instituição.","Seus componentes têm suas preferências políticas e vão manifestá-las, mesmo buscando refúgio no muitas vezes falacioso argumento dos superiores interesses da instituição.",0
"A ação no TSE serve como bom exemplo de uma declarada guerra para derrubar um governo, com motivações não muito nobres.","A ação no TSE serve como bom exemplo de uma declarada guerra para derrubar um governo, com motivações não muito nobres.",-1
"São muito nobres, afinal, a chapa usou $$ de corrupção.","São muito nobres, afinal, a chapa usou $$ de corrupção.",1
renuncie dilma.,renuncie dilma.,0
"o mais importante, neste momento, é a [""governante""]P1 cair fora.","o mais importante, neste momento, é a [""governante""]P1 cair fora.",-1
"Você está absolutamente certo, Carlito de Souza.","Você está absolutamente certo, Carlito de Souza.",0
"Defender o governo, nas condições atuais... É apologia ao crime.","Defender o governo, nas condições atuais... É apologia ao crime.",-1
"[""DesgovernANTA""]P1","[""DesgovernANTA""]P1",-1
"O certo é [[""governanta""]P3]P1.","O certo é [[""governanta""]P3]P1.",-1
"Aqueles que julgam falta de nobres razões para derrubar este desgoverno, já não estão mais amparados pelo inalienável direito da liberdade de expressão, estão nos limites da tênue linha de pensamento que separa opinião manifestar opinião de cunho político e a que prega apologia ao crime.","Aqueles que julgam falta de nobres razões para derrubar este desgoverno, já não estão mais amparados pelo inalienável direito da liberdade de expressão, estão nos limites da tênue linha de pensamento que separa opinião manifestar opinião de cunho político e a que prega apologia ao crime.",0
Porque o governo não tem?,Porque o governo não tem?,1
Prefiro o discurso da mandioca,Prefiro o discurso da mandioca,-1
Continua iludindo e distribuindo cargos.,Continua iludindo e distribuindo cargos.,0
É assim que se governa o Brasil.,É assim que se governa o Brasil.,1
Aquela reforma imaginária que se usa na Venezuela e Cuba?,Aquela reforma imaginária que se usa na Venezuela e Cuba?,-1
Sim ela parece funcionar muito bem...,Sim ela parece funcionar muito bem...,1
Quase ninguém passa muita fome ou necessidade lá...,Quase ninguém passa muita fome ou necessidade lá...,1
"Falta papel higiênico, mas isto é mero detalhe.","Falta papel higiênico, mas isto é mero detalhe.",-1
"Jaques Wagner , como governador da Bahia, realizou um [""concurso""]P1 para a construção de uma ponte ligando Salvador à ilha de Itaparica (12 km).","Jaques Wagner , como governador da Bahia, realizou um [""concurso""]P1 para a construção de uma ponte ligando Salvador à ilha de Itaparica (12 km).",0
Agora vejam que empresas foram escolhidas.,Agora vejam que empresas foram escolhidas.,0
"O projeto escolhido pelo governo foi o do consórcio formado pelas construtoras OAS, Camargo e Corrêa, e Odebrecht.","O projeto escolhido pelo governo foi o do consórcio formado pelas construtoras OAS, Camargo e Corrêa, e Odebrecht.",0
"Felizmente, para um estado q levou quase quinze anos para colocar um trem do metro a trafegar, o projeto foi descontinuado.","Felizmente, para um estado q levou quase quinze anos para colocar um trem do metro a trafegar, o projeto foi descontinuado.",-1
Seria a poeira do lava-jato?,Seria a poeira do lava-jato?,-1
Tudo o que o povo quer é que os parasitas sejam expulsos....Hiii hi hi,Tudo o que o povo quer é que os parasitas sejam expulsos....Hiii hi hi,-1
"Primeiro dia da blindagem do Jaques Wagner, com pleno sucesso.","Primeiro dia da blindagem do Jaques Wagner, com pleno sucesso.",-1
"Apesar do escândalo duplo,no final de semana, ele não apareceu na primeira página da F S P.","Apesar do escândalo duplo,no final de semana, ele não apareceu na primeira página da F S P.",0
Será q o desaparecimento do grande David Bowie venho a calhar.,Será q o desaparecimento do grande David Bowie venho a calhar.,-1
Confessa F S P.,Confessa F S P.,0
"- Somos uma ciranda infantil, feito um teatro trágico, com péssimos atores e uma plateia rasa acreditando em papai noel.","- Somos uma ciranda infantil, feito um teatro trágico, com péssimos atores e uma plateia rasa acreditando em papai noel.",-1
"Piada de mau gosto o que fizeram a nação e pior do que isso é ver que estão lá na corte, encastelados.","Piada de mau gosto o que fizeram a nação e pior do que isso é ver que estão lá na corte, encastelados.",0
Esta na hora do congresso enviar esta  senhora estocadora de ventos  para aquele lugar especial.,Esta na hora do congresso enviar esta  senhora estocadora de ventos  para aquele lugar especial.,-1
"Tirar a Dilma e colocar o Cunha ou  Temer  no lugar, ai voce fica feliz né!","Tirar a Dilma e colocar o Cunha ou  Temer  no lugar, ai voce fica feliz né!",1
"claro, deve ser da sua turma e ai podem brecar a lava jato.","claro, deve ser da sua turma e ai podem brecar a lava jato.",1
"Dilma>  e sua exagerada arrogância e incompetência que destruiu a economia do país, junto com os [petralhas]P3 corruptos, agora joga ao congresso a responsabilidade de tentar tirar o país do atoleiro que ela e seu governo fracassado nos colocou","Dilma>  e sua exagerada arrogância e incompetência que destruiu a economia do país, junto com os petralhas corruptos, agora joga ao congresso a responsabilidade de tentar tirar o país do atoleiro que ela e seu governo fracassado nos colocou",0
"O congresso com seu ídolo Cunha, esse ano só fez trapalhada, sabotou todas medidas do governo que fossem para melhorar a economia e situação do Brasil.","O congresso com seu ídolo Cunha, esse ano só fez trapalhada, sabotou todas medidas do governo que fossem para melhorar a economia e situação do Brasil.",-1
"Esse congresso com essa turma que você parece defender, é a pior doença que nós brasileiros nos infectamos.","Esse congresso com essa turma que você parece defender, é a pior doença que nós brasileiros nos infectamos.",0
"O Estado está tentando dar mais competitividade à indústria nacional: com a lei que será o Marco Legal da Ciência, Tecnologia e Inovação, além disto tem a a Chamada Universal CNPq/MCTI nº1/2016, edital promovido pelo Ministério da Ciência, Tecnologia e Inovação e pelo (CNPq) que vai disponibilizar recursos para projetos de pesquisa científica e tecnológica nos próximos dois anos, em qualquer área do conhecimento, no valor de duzentos milhões de reais.","O Estado está tentando dar mais competitividade à indústria nacional: com a lei que será o Marco Legal da Ciência, Tecnologia e Inovação, além disto tem a a Chamada Universal CNPq/MCTI nº1/2016, edital promovido pelo Ministério da Ciência, Tecnologia e Inovação e pelo (CNPq) que vai disponibilizar recursos para projetos de pesquisa científica e tecnológica nos próximos dois anos, em qualquer área do conhecimento, no valor de duzentos milhões de reais.",0
Acelera Dilma!,Acelera Dilma!,-1
"[Mainha]P5, realidade é q a Gigante Fábrica de Kuernu-Puebru do desgov.br está sendo demolida !","Mainha, realidade é q a Gigante Fábrica de Kuernu-Puebru do desgov.br está sendo demolida !",0
* Congresso ex-Congesso !,* Congresso ex-Congesso !,0
"Recuperado [""R""]P1 afanado p/ aquela velha campanha Reizaínha del Munduuu !","Recuperado [""R""]P1 afanado p/ aquela velha campanha Reizaínha del Munduuu !",-1
É ridículo ler certos comentários que só podem ser de classe média alienada.,É ridículo ler certos comentários que só podem ser de classe média alienada.,0
"Lutar pelo impeachment de uma presidenta  que reconhecidamente pelo mundo todo, é super honesta, não desviou um centavo sequer, e esses alienados não [bravam]P3 pelo impeachment do Cunha e sua tropa de choque que desviaram milhões.","Lutar pelo impeachment de uma presidenta  que reconhecidamente pelo mundo todo, é super honesta, não desviou um centavo sequer, e esses alienados não bravam pelo impeachment do Cunha e sua tropa de choque que desviaram milhões.",0
Desse jeito nada vai mudar.,Desse jeito nada vai mudar.,0
"Vc está sendo irônica, certo?!","Vc está sendo irônica, certo?!",0
"Apesar de concordar com a  nossa [presidanta]P3, acho engraçado ela jogar o possível fracasso do ajuste ao Congresso.","Apesar de concordar com a  nossa presidanta, acho engraçado ela jogar o possível fracasso do ajuste ao Congresso.",0
"Na hora de fazer as desonerações e aumentar o bolsa esmola, o mérito é do executivo..mas na hora de cobrir o buraco, a culpa é do Congresso.","Na hora de fazer as desonerações e aumentar o bolsa esmola, o mérito é do executivo..mas na hora de cobrir o buraco, a culpa é do Congresso.",-1
Essa é a tática [petralha]P3.,Essa é a tática petralha.,0
"A presidente Dilma não sabe mais o que fazer para agradar os congressistas , de verbas a bajulações , para tentar permanecer no poder.","A presidente Dilma não sabe mais o que fazer para agradar os congressistas , de verbas a bajulações , para tentar permanecer no poder.",-1
Uma das poucas vezes que concordo com a  presidente .,Uma das poucas vezes que concordo com a  presidente .,0
"Uma boa parte do Congresso tem este compromisso, por isto está a favor do impeachment.","Uma boa parte do Congresso tem este compromisso, por isto está a favor do impeachment.",0
"Nós da iniciativa privada lutando para sobreviver a essa crise, enquanto o  presidente , em seu quarto mandato, está preocupado com a manutenção do poder.","Nós da iniciativa privada lutando para sobreviver a essa crise, enquanto o  presidente , em seu quarto mandato, está preocupado com a manutenção do poder.",0
Só aqui.,Só aqui.,-1
Ficou muito mal para o STF interferir noutro poder para impedir o impeachment de Dilma.,Ficou muito mal para o STF interferir noutro poder para impedir o impeachment de Dilma.,0
Fizeram história.,Fizeram história.,-1
"Como sempre, primeiro faz a besteira, aí quando é tarde tenta, mal e porcamente,consertar.","Como sempre, primeiro faz a besteira, aí quando é tarde tenta, mal e porcamente,consertar.",0
Ela  não tem jeito.,Ela  não tem jeito.,0
"Um pessoa que tivesse um mínimo de vergonha, não aceitaria isto como uma verdade é a contentaria imediatamente, mas senso quem é....","Um pessoa que tivesse um mínimo de vergonha, não aceitaria isto como uma verdade é a contentaria imediatamente, mas senso quem é....",-1
Podridão se comunicando em benefício próprio e contra o Brasil.,Podridão se comunicando em benefício próprio e contra o Brasil.,0
"Vê-se que a  presidente  não tem vontade própria, não sabe dissertar sobre nenhum tema, daí a necessidade de ser orientada/mandada.","Vê-se que a  presidente  não tem vontade própria, não sabe dissertar sobre nenhum tema, daí a necessidade de ser orientada/mandada.",0
Uma inutilidade institucional.,Uma inutilidade institucional.,0
É uma maluca sem rumo.,É uma maluca sem rumo.,0
Que governo falido.,Que governo falido.,0
Vai adotar um programa do partido do vice porque não tem e nunca teve um programa de governo.,Vai adotar um programa do partido do vice porque não tem e nunca teve um programa de governo.,0
Como sempre está esperando para a parte amarga da coisa colocar o culpa em outro partido .,Como sempre está esperando para a parte amarga da coisa colocar o culpa em outro partido .,0
"Afinal, o o Lula  pretende, tirar o Brasil do atoleiro, ou salvar o PT?","Afinal, o o Lula  pretende, tirar o Brasil do atoleiro, ou salvar o PT?",-1
Como sempre mentindo para salvar o próprio pescoço.,Como sempre mentindo para salvar o próprio pescoço.,0
"Essa inoperante, essa morta vivia, seus ministros são só decorativos.","Essa inoperante, essa morta vivia, seus ministros são só decorativos.",0
"Ela só escuta o [""El Capo""]P1, por isso que a situação do País é essa......","Ela só escuta o [""El Capo""]P1, por isso que a situação do País é essa......",-1
[Marionetando]P3 a marionete,Marionetando a marionete,-1
Será que  ela  toma umas cachaças ou é para nos afrontar com esse vai e vem com o rejeitado [pixuleco]P3 [llullarápio]P3?,Será que  ela  toma umas cachaças ou é para nos afrontar com esse vai e vem com o rejeitado pixuleco llullarápio?,-1
Não consigo entender como um  ameba aleijado  conseguiu tanto poder e organizar assaltos constantes e de grande valor ao erário publico sem ninguém perceber.,Não consigo entender como um  ameba aleijado  conseguiu tanto poder e organizar assaltos constantes e de grande valor ao erário publico sem ninguém perceber.,0
Haja vaselina ou o dedo era mágico,Haja vaselina ou o dedo era mágico,1
"nós trabalhadores, que pagamos os impostos para sustentar essa ditadura, continuamos reféns dos acordões.","nós trabalhadores, que pagamos os impostos para sustentar essa ditadura, continuamos reféns dos acordões.",0
O Demo e a Dema  vão queimar [abraçadinhos]P5 no inferno. </sentence>,O Demo e a Dema  vão queimar abraçadinhos no inferno. </sentence>,-1
Já vão tarde.,Já vão tarde.,0
"A todos aqueles que defendem esta organização criminosa, um [recadinho]P5.","A todos aqueles que defendem esta organização criminosa, um recadinho.",-1
Só há um motivo compreensível para que vossas senhorias apoiem o desmantelamento econômico e moral que está sendo realizado no Brasil: vossas senhorias devem receber algum [pixuleco]P3.,Só há um motivo compreensível para que vossas senhorias apoiem o desmantelamento econômico e moral que está sendo realizado no Brasil: vossas senhorias devem receber algum pixuleco.,-1
"Se não, alguém de seu círculo pessoal ou familiar recebe.","Se não, alguém de seu círculo pessoal ou familiar recebe.",0
Poderíamos comparar esses dois partidos como o  Gigolô  e a  Meretriz .,Poderíamos comparar esses dois partidos como o  Gigolô  e a  Meretriz .,0
O  Gigolô  alicia qualquer um e a  Meretriz  se vende por qualquer preço.,O  Gigolô  alicia qualquer um e a  Meretriz  se vende por qualquer preço.,0
A tradução literal para aqueles que tem o raciocínio livre de [pixulecos]P3 é : a boneca de ventríloco obedeceu as ordens do chefe da organização criminosa.,A tradução literal para aqueles que tem o raciocínio livre de pixulecos é : a boneca de ventríloco obedeceu as ordens do chefe da organização criminosa.,-1
"E como o objetivo é o poder pelo poder, abaixou a cabeça e vai fazer como sempre o que o chefão mandar.","E como o objetivo é o poder pelo poder, abaixou a cabeça e vai fazer como sempre o que o chefão mandar.",-1
Criador e criado.,Criador e criado.,0
Está difícil romper o cordão umbilical.,Está difícil romper o cordão umbilical.,-1
Não tem mais neto pra visitar não?,Não tem mais neto pra visitar não?,-1
Dá menos prejú quando gasta 300mil numa viagem sem agenda do que fazendo acordo deste tipo...,Dá menos prejú quando gasta 300mil numa viagem sem agenda do que fazendo acordo deste tipo...,-1
Se merecem...gostam do '[pixuleco]P3 [iguaizinhos]P5...porque haveriam de se desentenderem?,Se merecem...gostam do 'pixuleco iguaizinhos...porque haveriam de se desentenderem?,-1
"Se brincam, pode se entenderem numa 'cela em Curitiba.","Se brincam, pode se entenderem numa 'cela em Curitiba.",-1
"Gente, vamos ficar lendo e fando mais três anos dessas desgraças?","Gente, vamos ficar lendo e fando mais três anos dessas desgraças?",0
Temos que acabar logo com isso.,Temos que acabar logo com isso.,0
O Lula reabilitou até o Maluf que era considerado o demonio e agora diante do Mensalão e Petrolão sumiu até da midia !!!!,O Lula reabilitou até o Maluf que era considerado o demonio e agora diante do Mensalão e Petrolão sumiu até da midia !!!!,0
"Com um [""conselheiro""]P1 desse, o que se pode esperar.....desgraça pouca .....","Com um [""conselheiro""]P1 desse, o que se pode esperar.....desgraça pouca .....",1
vergonha,vergonha,0
Esse [partidinho]P5 traidor do Brasil já deveria ter sido varrido.,Esse partidinho traidor do Brasil já deveria ter sido varrido.,0
"Olha o que eles estão fazendo conosco, descaracterizando nossa cultura e transformando o povo mais humilde em colchão de segurança para eles se perpetuarem no poder.","Olha o que eles estão fazendo conosco, descaracterizando nossa cultura e transformando o povo mais humilde em colchão de segurança para eles se perpetuarem no poder.",0
"Fora PTebas, a moléstia da ignorância e corrupção que invadiu o país.","Fora PTebas, a moléstia da ignorância e corrupção que invadiu o país.",0
Desgraça pouca é bobagem.,Desgraça pouca é bobagem.,1
Todo o ajuntamento de escroques funciona dessa maneira.,Todo o ajuntamento de escroques funciona dessa maneira.,0
